https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BAT,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1622419200000,2021-05-31 00:00:00,BAT/USDT,0.6972459,0.7655085,0.67170212,0.7655085,2491.9336474506960093,3437.06845929,0,0,0,0.72501717
1622332800000,2021-05-30 00:00:00,BAT/USDT,0.67170212,0.7387234,0.63819148,0.70355765,5559.1066923760702314,7827.15921486,0,0,0,0.71023299
1622246400000,2021-05-29 00:00:00,BAT/USDT,0.75358535,0.78340425,0.64326834,0.68287234,12664.0361968446334,18056.78545772,0,0,0,0.701345
1622160000000,2021-05-28 00:00:00,BAT/USDT,0.8320176,0.85302754,0.70435919,0.75056481,18444.302901353781894,23731.5882831,0,0,0,0.77720474
1622073600000,2021-05-27 00:00:00,BAT/USDT,0.88680932,0.93167131,0.79457446,0.84249697,16474.2163890240144,18645.58838432,0,0,0,0.883545
1621987200000,2021-05-26 00:00:00,BAT/USDT,0.7382585,0.88786165,0.7371834,0.88364012,24763.1034829745914326,31039.29133566,0,0,0,0.79779861
1621900800000,2021-05-25 00:00:00,BAT/USDT,0.73872339,0.76802368,0.66004002,0.7313802,5239.761008841896768,7287.1166591,0,0,0,0.71904448
1621814400000,2021-05-24 00:00:00,BAT/USDT,0.57056606,0.7387234,0.55008621,0.72755319,6847.6588281246183528,10310.45723393,0,0,0,0.66414696
1621728000000,2021-05-23 00:00:00,BAT/USDT,0.67632956,0.70521276,0.45045228,0.56031168,10362.3536706259388274,19007.03860182,0,0,0,0.54518507
1621641600000,2021-05-22 00:00:00,BAT/USDT,0.7387234,0.76193598,0.65637839,0.67874666,83580.5876798500799634,122559.90513867,0,0,0,0.68195702
1621555200000,2021-05-21 00:00:00,BAT/USDT,0.87932914,0.9174468,0.65,0.7526156,16894.082331254108016,21663.94596742,0,0,0,0.7798248
1621468800000,2021-05-20 00:00:00,BAT/USDT,0.76723624,0.91340286,0.66645161,0.87276595,121981.6568595427441779,147462.14347681,0,0,0,0.82720659
1621382400000,2021-05-19 00:00:00,BAT/USDT,1.10940373,1.11591397,0.57,0.76704684,61281.1989299796003288,71807.00927921,0,0,0,0.85341528
1621296000000,2021-05-18 00:00:00,BAT/USDT,1.05677419,1.1611048,1.05677419,1.10894665,19313.629334711381341,17793.42822181,0,0,0,1.0854361
1621209600000,2021-05-17 00:00:00,BAT/USDT,1.1343004,1.13956989,1.02066501,1.05677419,31282.8804248996767432,29097.59597288,0,0,0,1.07510189
1621123200000,2021-05-16 00:00:00,BAT/USDT,1.15139784,1.24135165,1.0804301,1.13956989,16826.7839762442073198,14894.62268914,0,0,0,1.12972207
1621036800000,2021-05-15 00:00:00,BAT/USDT,1.22013767,1.22632491,1.12849592,1.13380003,21029.8046588353428402,18030.13459242,0,0,0,1.16636981
1620950400000,2021-05-14 00:00:00,BAT/USDT,1.19157354,1.25424417,1.17488606,1.21095014,47918.8385985670644327,39102.34427301,0,0,0,1.22547227
1620864000000,2021-05-13 00:00:00,BAT/USDT,1.15281903,1.24949431,1.10316313,1.18688172,44845.1576898202534099,37936.09334987,0,0,0,1.18212377
1620777600000,2021-05-12 00:00:00,BAT/USDT,1.39978488,1.4116129,1.163,1.163,76844.3303434932159814,58284.36896269,0,0,0,1.31843806
